"pensez à m'envoyer votre facture","pro"
"Sujet: demande de devis","pro"
"il faut appeler le comptable","pro"
"Avez-vous un créneau de libre pour un point téléphonique ?","pro"
"pensez à me fournir votre comptabilité","pro"
"Maîtriser les fondamentaux du Web Marketing et de la Communication Digitale,","pro"
"Nous vous remercions d'avoir choisi nos services pour le renouvellement de votre Nom de Domaine.","pro"
"Administration et grand-compte: Si vous souhaitez recevoir une offre de prix équivalente, cliquez-ici","pro"
"Donnez aux entreprises les moyens d’innover, de se transformer, de grandir et de créer des emplois","pro"
"Voici des personnes que vous connaissez peut-être. Entrez en contact et développez de nouvelles relations.","pro"
"nous recrutons un chef de projet","pro"
"La société XXX a le plaisir de vous annoncer la sortie prochaine de son application","pro"
"Je vous propose un RDV lundi prochain à 17H.","pro"
"N'oubliez pas de réserver la salle B10 pour la réunion avec la direction.","pro"
"Cédez vos factures en ligne grâce à notre solution","pro"
"Je me permets de vous contacter dans le cadre de la rédaction de notre article","pro"
"Pour connaître les modalités de transmission des paiements mensuels, consultez la fiche.","pro"
"Découvrez notre offre en logiciel de gestion (comptabilité - paie - gestion commerciale) et solutions métiers pour les PME, TPE, artisans et professionnels.","pro"
"Vous recevrez notre proposition commerciale dans les plus brefs délais","pro"
"L'activation vous permet de déclarer votre licence","pro"
"Il est grand temps de renouveler notre parc informatique","pro"
"Si vous êtes un employeur occupant 9 salariés au plus et si vous n'avez pas opté pour le maintien du paiement trimestriel, votre paiement sera à effectuer en même temps que votre déclaration","pro"
"Je te fais de gros bisous","perso"
"Je t'embrasse","perso"
"coucou, ça va ?","perso"
"Bonjour les amis","perso"
"On va au ciné ?","perso"
"J'adore l'informatique","perso"
"Ca vous dit de sortir boire un verre ?","perso"
"Comment va la famille ?","perso"
"J'aime beaucoup parler avec toi","perso"
"Mes passions sont la musique, le cinéma et la photo","perso"
